GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.exception,TransaccionException,0,4,0,0,0,2,0,1,0,1
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.exception,ClienteNotFoundException,0,4,0,0,0,2,0,1,0,1
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.exception,BusinessException,5,4,0,0,2,2,1,1,1,1
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.exception,ProductoNotFoundException,0,4,0,0,0,2,0,1,0,1
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.controller,ClienteController,0,94,0,0,0,23,0,7,0,7
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.controller,ProductoController,0,103,0,0,0,27,0,8,0,8
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.controller,TransaccionController,0,125,1,3,0,35,1,8,0,7
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.mapper,TransaccionWebMapperImpl,78,0,6,0,21,0,6,0,3,0
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.mapper,ClienteWebMapperImpl,112,0,8,0,31,0,8,0,4,0
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.mapper,ProductoWebMapperImpl,78,0,6,0,21,0,6,0,3,0
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.model,Transaccion,47,91,6,0,12,38,13,14,10,14
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.model,Cliente,51,71,4,0,16,30,8,19,6,19
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.model,Producto,28,179,4,10,9,57,10,27,6,24
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.exception,GlobalExceptionHandler,27,96,0,0,7,26,2,7,2,7
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.exception,GlobalExceptionHandler.ErrorResponse,12,21,0,0,6,8,3,4,3,4
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.exception,GlobalExceptionHandler.ValidationErrorResponse,4,12,0,0,2,4,1,2,1,2
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.dto,ClienteResponseDto,0,66,0,0,0,28,0,19,0,19
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.dto,ProductoRequestDto,0,27,0,0,0,11,0,7,0,7
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.dto,ClienteRequestDto,0,45,0,0,0,19,0,13,0,13
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.dto,TransaccionResponseDto,8,58,0,0,4,24,2,17,2,17
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.dto,EstadoCuentaRequestDto,0,10,0,0,0,4,0,3,0,3
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.dto,TransaccionRequestDto,0,31,0,0,0,13,0,9,0,9
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.in.web.dto,ProductoResponseDto,0,66,0,0,0,29,0,19,0,19
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.out.persistence.mapper,TransaccionMapperImpl,129,0,16,0,43,0,13,0,5,0
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.out.persistence.mapper,ClienteMapperImpl,127,0,6,0,37,0,7,0,4,0
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.out.persistence.mapper,ProductoMapperImpl,112,0,10,0,35,0,9,0,4,0
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.config,OpenApiConfig,35,0,0,0,13,0,2,0,2,0
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.model.enums,EstadoCuenta,3,32,0,0,1,7,1,2,1,2
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.model.enums,TipoIdentificacion,6,46,0,0,2,9,2,2,2,2
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.model.enums,TipoCuenta,3,25,0,0,1,6,1,2,1,2
banking-Backend-Quind,com.prueba.bankingbackendquind.domain.model.enums,TipoTransaccion,3,32,0,0,1,7,1,2,1,2
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.out.persistence,ProductoRepositoryAdapter,118,0,2,0,28,0,11,0,10,0
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.out.persistence,TransaccionRepositoryAdapter,149,0,4,0,38,0,10,0,8,0
banking-Backend-Quind,com.prueba.bankingbackendquind.infrastructure.adapter.out.persistence,ClienteRepositoryAdapter,74,0,0,0,18,0,7,0,7,0
banking-Backend-Quind,com.prueba.bankingbackendquind.application.service,ProductoService,23,145,1,11,1,34,4,16,3,10
banking-Backend-Quind,com.prueba.bankingbackendquind.application.service,TransaccionService,0,229,0,12,0,51,0,18,0,12
banking-Backend-Quind,com.prueba.bankingbackendquind.application.service,ClienteService,12,242,2,28,0,55,4,24,2,11
